username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Anita_Thomsen_;2019-03-31 22:59;0;1;"Yo no soy creyente pero la entrevista aparte de ser un gran logro de Evole,ha sido muy interesante. #SalvadosPapa";;;#SalvadosPapa;"1112459393277276167";https://twitter.com/Anita_Thomsen_/status/1112459393277276167
Larriti;2019-03-31 22:59;3;4;"Pero esperábais que el Papa, se pringase aún más con el tema de la homosexualidad o el aborto? Le cortan la cabeza.. Para mí ha sido fantástica la entrevista, y muchos capillitas estarán a punto de infartar.. #SalvadosPapa";;;#SalvadosPapa;"1112459371672489985";https://twitter.com/Larriti/status/1112459371672489985
bichejose;2019-03-31 22:59;0;0;"No creo que la iglesia sea femenina porque no hay Mama, solo Papa. #SalvadosPapa";;;#SalvadosPapa;"1112459371437527040";https://twitter.com/bichejose/status/1112459371437527040
rojoenorbita;2019-03-31 22:59;8;9;"Recordad que los rancios somos los comunistas con nuestras hoces y martillos, banderas rojas y salsas de estrellas rojas, no los progres que miran embobados la entrevista al Papa tan moderno ese #SalvadosPapa";;;#SalvadosPapa;"1112459370544185344";https://twitter.com/rojoenorbita/status/1112459370544185344
Ruksy_;2019-03-31 22:59;0;1;"Gracias @jordievole por hacer entrevistas tan estupendas como la del Papa. Hacen falta entrevistas asi en televisión #SalvadosPapa";;@jordievole;#SalvadosPapa;"1112459366475669506";https://twitter.com/Ruksy_/status/1112459366475669506
BoteyConxita;2019-03-31 22:59;2;16;"Podràs ser més O menys catòlic, però el Papa ha donat una lliçó d Ètica q a molts hauria de fer reflexionar de veritat. Humanitat i capacitat de Persuadir #SalvadosPapa . Em quedo amb la reflexió: els ponts faciliten la vida.";;;#SalvadosPapa;"1112459348595408902";https://twitter.com/BoteyConxita/status/1112459348595408902
MikeArco;2019-03-31 22:59;1;0;"Lo del psicólogo no tiene ningún sentido, pero valoro que la postura sea mucho más abierta y eso puede ayudar a familias fundamentalistas #SalvadosPapa";;;#SalvadosPapa;"1112459346523422722";https://twitter.com/MikeArco/status/1112459346523422722
lmasauce;2019-03-31 22:59;2;2;"Sabe transmitir, comunicar, un real líder espiritual. Católicos hipócritas de misa les dijo. Pero no se darán por aludidos, tanta es la soberbia y la falta de escrúpulos. Obran sin los mismos. #SalvadosPapa";;;#SalvadosPapa;"1112459346389143553";https://twitter.com/lmasauce/status/1112459346389143553
LatidoBostero;2019-03-31 22:59;0;0;"Desde #SalvadosPapa lo vi en internet lo imperdonable lo del Papa es q no sé llamó el Papa Diego a alusión a Maradona https:// twitter.com/jordievole/sta tus/1112435282417201153 …";;;#SalvadosPapa;"1112459343297949697";https://twitter.com/LatidoBostero/status/1112459343297949697
SaraYede;2019-03-31 22:59;0;2;"Aun así, chapó para @jordievole , que lo ha hecho tan bien que le exigimos más. #SalvadosPapa";;@jordievole;#SalvadosPapa;"1112459332061405189";https://twitter.com/SaraYede/status/1112459332061405189
consolprados;2019-03-31 22:59;0;3;"Saludos también para las derechas y extremas. Sobre los inmigrantes, "Que lean el evangelio y sean coherentes" #SalvadosPapa";;;#SalvadosPapa;"1112459331784663041";https://twitter.com/consolprados/status/1112459331784663041
anmilian;2019-03-31 22:59;0;1;"#SalvadosPapa Gracias @jordievole por entrevistar a uno de los pocos líderes q los jóvenes tenemos como modelo. Viva el Papa Francisco y sus mensajes llenos de esperanza";;@jordievole;#SalvadosPapa;"1112459330467647492";https://twitter.com/anmilian/status/1112459330467647492
angelandresca;2019-03-31 22:59;0;0;"#SalvadosPapa . Cuando le pregunta sobre Franco, se callo y no dijo ni pio.";;;#SalvadosPapa;"1112459315657490433";https://twitter.com/angelandresca/status/1112459315657490433
miguecotrino;2019-03-31 22:59;1;1;"#SalvadosPapa los que se extrañan de las palabras del Papa sobre algunos temas como el de la homesexualidad... ¿Q esperaban?un discurso de izquierdas? Entrevistamos al rey y le pedimos que hable de república?podía haber sido mucho peor";;;#SalvadosPapa;"1112459311765168128";https://twitter.com/miguecotrino/status/1112459311765168128
oyepa2008;2019-03-31 22:59;1;2;"Llamadme escéptico, pero creo que este papa está puesto en la iglesia católica, simplemente para limpiar la imagen y renovarse un poco, pero no veo que cunda el ejemplo ni que pasen de las palabras a los hecho, no me lo creo #papafalso #SalvadosPapa";;;#papafalso #SalvadosPapa;"1112459306778218502";https://twitter.com/oyepa2008/status/1112459306778218502
ZALVEZ_123;2019-03-31 22:58;0;0;"#SalvadosPapa super Man no existe,.. Y Dios? Tampoco..!";;;#SalvadosPapa;"1112459280870002689";https://twitter.com/ZALVEZ_123/status/1112459280870002689
crisguijarro1;2019-03-31 22:58;0;0;"“Reza por mi y si no rezás, manda buena onda” #SalvadosPapa El Papa no se ha negado a contestar a ninguna pregunta y excepto con el tema de la homosexualidad, ha dejado claro que quiere apertura, solidaridad, persuasión y aceptación de las mujeres. pic.twitter.com/AOyd0AS7RO";;;#SalvadosPapa;"1112459280408608768";https://twitter.com/crisguijarro1/status/1112459280408608768
Loret_maresp;2019-03-31 22:58;0;6;"Aquí van algunas de las cosas que más me han gustado de la entrevista de @jordievole al #PapaFrancisco . No por las preguntas, aquí la clave de esta entrevista han sido las respuestas. Naturalidad, profundidad y rapidez del Papa. #SalvadosPapa";;@jordievole;#PapaFrancisco #SalvadosPapa;"1112459272359763968";https://twitter.com/Loret_maresp/status/1112459272359763968
leonrasi;2019-03-31 22:58;3;8;"Una buena y valiente entrevista. Enhorabuena. También las respuestas del Papa, pero en el tema de la homosexualidad… “Cosas raras” demuestra que hay camino por recorrer y normalizar (aunque diga que a los gays no se les puede echar de la familia). #SalvadosPapa #LGTBI https:// twitter.com/salvadostv/sta tus/1112451435222966272 …";;;#SalvadosPapa #LGTBI;"1112459262247219203";https://twitter.com/leonrasi/status/1112459262247219203
AbelPlata;2019-03-31 22:58;1;6;"EL PAPA NOS VE A LOS HOMOSEXUALES COMO “COSAS RARAS” #SalvadosPapa pic.twitter.com/Sk6vkSl62P";;;#SalvadosPapa;"1112459239275008001";https://twitter.com/AbelPlata/status/1112459239275008001
JL_SR2015;2019-03-31 22:58;2;2;"#SalvadosPapa Vomitivo. pic.twitter.com/5mLKRVKj00";;;#SalvadosPapa;"1112459234321534978";https://twitter.com/JL_SR2015/status/1112459234321534978
Nyobe87;2019-03-31 22:58;1;3;"Dijera lo que dijera , ibais a criticar. Es lo q tiene no ser libre, sino esclavo de una idea #SalvadosPapa";;;#SalvadosPapa;"1112459234028015618";https://twitter.com/Nyobe87/status/1112459234028015618
escaro13;2019-03-31 22:58;0;2;"Posiblemente @TachiSandra #salvadospapa";;@TachiSandra;#salvadospapa;"1112459226125950976";https://twitter.com/escaro13/status/1112459226125950976
Luamar29;2019-03-31 22:58;1;4;"El Papa se muestra contundente con respecto a los refugiados, la inmigración o la exigencia de que la iglesia pague impuestos, todo lo contrario cuando habla de feminismo, aborto y homosexuales, niños que hacen “cosas raras” a los que hay que llevar al psicólogo. #SalvadosPapa";;;#SalvadosPapa;"1112459221700956162";https://twitter.com/Luamar29/status/1112459221700956162
EgoRevenio;2019-03-31 22:58;0;0;"Jordi, tú antes molabas y ahora sólo estás para que hagan propaganda #salvadospapa";;;#salvadospapa;"1112459208241352704";https://twitter.com/EgoRevenio/status/1112459208241352704
mariacabezasf;2019-03-31 22:58;1;4;"En el centro del evangelio esta el pobre #SalvadosPapa";;;#SalvadosPapa;"1112459196744822785";https://twitter.com/mariacabezasf/status/1112459196744822785
MDiaz_Garcia;2019-03-31 22:58;43;30;"Que dirán @pablocasado , @Rafa_Hernando y @Albert_Rivera después de escuchar al @Pontifex_es hablar sobre las cunetas y el #franquismo ?: “Una sociedad no puede sonreír al futuro teniendo sus muertos escondidos”. Tomen nota y el domingo vayan a misa a confesarse #SalvadosPapa pic.twitter.com/tW9ZpIarIl";;@pablocasado @Rafa_Hernando @Albert_Rivera @Pontifex_es;#franquismo #SalvadosPapa;"1112459194266017793";https://twitter.com/MDiaz_Garcia/status/1112459194266017793
